2025-03-16 08:20:05 2543 | Error | 由于线程退出或应用程序请求，已中止 I/O 操作。
2025-03-16 08:37:33 2523 | Error | 由于线程退出或应用程序请求，已中止 I/O 操作。
2025-03-16 08:37:35 0004 | Error | 由于线程退出或应用程序请求，已中止 I/O 操作。
2025-03-16 08:37:36 2179 | Error | 由于线程退出或应用程序请求，已中止 I/O 操作。
2025-03-16 08:39:10 2711 | Error | 未知错误。
2025-03-16 08:39:56 0337 | Info | 收到：123
2025-03-16 08:40:20 7966 | Info | 收到：123
2025-03-16 08:40:21 6197 | Info | 收到：123
2025-03-16 08:40:22 5294 | Info | 收到：123
2025-03-16 08:40:24 2288 | Info | 收到：123
2025-03-16 08:40:24 9120 | Info | 收到：123
2025-03-16 08:40:25 5155 | Info | 收到：123
2025-03-16 08:40:26 0220 | Info | 收到：123
2025-03-16 08:40:26 4971 | Info | 收到：123
2025-03-16 08:40:26 7343 | Info | 收到：123
2025-03-16 08:40:26 9382 | Info | 收到：123
2025-03-16 08:40:53 1262 | Info | 收到：123
2025-03-16 08:48:01 9440 | Info | 收到：123
2025-03-16 08:48:02 6496 | Info | 收到：123
2025-03-16 08:48:03 4450 | Info | 收到：123
2025-03-16 08:48:15 4461 | Info | 收到：123
2025-03-16 08:48:16 3266 | Info | 收到：123
2025-03-16 08:53:48 1683 | Info | 收到：我是组播
2025-03-16 08:53:48 1703 | Info | 收到：我是广播
2025-03-16 08:53:48 1743 | Info | 收到：hello
2025-03-16 08:53:48 1773 | Info | 收到：hi
2025-03-16 08:53:49 1748 | Info | 收到：我是组播
2025-03-16 08:53:49 1768 | Info | 收到：我是广播
2025-03-16 08:53:49 1778 | Info | 收到：hello
2025-03-16 08:53:49 1808 | Info | 收到：hi
2025-03-16 08:53:50 1815 | Info | 收到：我是组播
2025-03-16 08:53:50 1845 | Info | 收到：我是广播
2025-03-16 08:53:50 1874 | Info | 收到：hello
2025-03-16 08:53:50 1884 | Info | 收到：hi
2025-03-16 08:53:51 1923 | Info | 收到：我是组播
2025-03-16 08:53:51 1943 | Info | 收到：我是广播
2025-03-16 08:53:51 1962 | Info | 收到：hello
2025-03-16 08:53:51 1982 | Info | 收到：hi
2025-03-16 08:53:52 1955 | Info | 收到：我是组播
2025-03-16 08:53:52 1964 | Info | 收到：我是广播
2025-03-16 08:53:52 1984 | Info | 收到：hello
2025-03-16 08:53:52 2004 | Info | 收到：hi
2025-03-16 08:53:53 2013 | Info | 收到：我是组播
2025-03-16 08:53:53 2033 | Info | 收到：我是广播
2025-03-16 08:53:53 2052 | Info | 收到：hello
2025-03-16 08:53:53 2072 | Info | 收到：hi
2025-03-16 08:53:54 2085 | Info | 收到：我是组播
2025-03-16 08:53:54 2105 | Info | 收到：我是广播
2025-03-16 08:53:54 2135 | Info | 收到：hello
2025-03-16 08:53:54 2145 | Info | 收到：hi
2025-03-16 08:53:55 2169 | Info | 收到：我是组播
2025-03-16 08:53:55 2228 | Info | 收到：我是广播
2025-03-16 08:53:55 2268 | Info | 收到：hello
2025-03-16 08:53:55 2298 | Info | 收到：hi
2025-03-16 08:53:56 2218 | Info | 收到：我是组播
2025-03-16 08:53:56 2238 | Info | 收到：我是广播
2025-03-16 08:53:56 2258 | Info | 收到：hello
2025-03-16 08:53:56 2267 | Info | 收到：hi
2025-03-16 08:53:57 2251 | Info | 收到：我是组播
2025-03-16 08:53:57 2271 | Info | 收到：我是广播
2025-03-16 08:53:57 2280 | Info | 收到：hello
2025-03-16 08:53:57 2300 | Info | 收到：hi
2025-03-16 08:53:58 2265 | Info | 收到：我是组播
2025-03-16 08:53:58 2295 | Info | 收到：我是广播
2025-03-16 08:53:58 2315 | Info | 收到：hello
2025-03-16 08:53:58 2335 | Info | 收到：hi
2025-03-16 08:53:59 2408 | Info | 收到：我是组播
2025-03-16 08:53:59 2467 | Info | 收到：我是广播
2025-03-16 08:53:59 2507 | Info | 收到：hello
2025-03-16 08:53:59 2537 | Info | 收到：hi
2025-03-16 08:55:13 2245 | Info | 收到：我是组播
2025-03-16 08:55:13 2275 | Info | 收到：我是广播
2025-03-16 08:55:13 2295 | Info | 收到：hello
2025-03-16 08:55:13 2345 | Info | 收到：hi
2025-03-16 08:55:14 2289 | Info | 收到：我是组播
2025-03-16 08:55:14 2349 | Info | 收到：我是广播
2025-03-16 08:55:14 2398 | Info | 收到：hello
2025-03-16 08:55:14 2448 | Info | 收到：hi
2025-03-16 08:55:15 2399 | Info | 收到：我是组播
